CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-ENIC2023-001;ENIC;ENELAR;30/06/2023;01/10/2023 al 31/12/2034;30/06/2023;25/07/2023;24/08/2023;6/09/2023;26/09/2023;Cerrada y adjudicada;Regulado;NO;;;;28/09/2023
CP-CASC2023-001;CASC;ENERCA;12/07/2023;01/01/2024 al 31/12/2033;12/07/2023;25/07/2023;24/08/2023;6/09/2023;26/09/2023;Cerrada y adjudicada;Regulado;NO;;;;4/10/2023
CP-EPMC2023-002;EPMC;EPM;30/06/2023;01/12/2023 al 31/12/2031;6/07/2023;28/07/2023;29/08/2023;8/09/2023;29/09/2023;Cerrada y adjudicada;Regulado;NO;;;;5/10/2023
CP-BIAC2023-005;BIAC;BIAE;26/07/2023;12/10/2023 al 31/12/2027;26/07/2023;3/08/2023;4/09/2023;15/09/2023;6/10/2023;Cerrada y desierta;Regulado;NO;;;;15/09/2023
CP-EBPC2023-004;EBPC;BAJO PUTUMAYO;7/07/2023;13/10/2023 al 12/10/2033;10/07/2023;14/08/2023;12/09/2023;22/09/2023;13/10/2023;Cerrada y adjudicada;Regulado;NO;31/07/2023;;;27/10/2023
CP-ESSC2023-003;ESSC;ESSA;18/07/2023;10/11/2023 al 31/12/2036;19/07/2023;11/08/2023;11/09/2023;22/09/2023;13/10/2023;Cerrada y desierta;Regulado;NO;;;;25/09/2023
CP-CMXC2023-003;CMXC;CEMEX ENERGY;10/08/2023;09/11/2023 al 31/12/2033;10/08/2023;14/08/2023;12/09/2023;22/09/2023;13/10/2023;Cerrada y desierta;No Regulado;NO;;;;26/09/2023
CP-EDPC2023-002;EDPC;DISPAC;25/07/2023;01/11/2023 al 31/12/2027;25/07/2023;16/08/2023;14/09/2023;27/09/2023;19/10/2023;Cerrada y desierta;Regulado;NO;;;;27/09/2023
CP-EBSC2023-001;EBSC;EBSA;31/07/2023;01/01/2024 al 31/12/2026;1/08/2023;23/08/2023;20/09/2023;29/09/2023;23/10/2023;Cerrada y desierta;Regulado;NO;;;;2/10/2023
CP-CQTC2023-002;CQTC;ELECTROCAQUETA;1/08/2023;01/11/2023 al 31/12/2030;1/08/2023;24/08/2023;21/09/2023;4/10/2023;26/10/2023;Cerrada y adjudicada;Regulado;NO;;;;10/11/2023
CP-RTQC2023-003;RTQC;RUITOQUE;3/08/2023;01/01/2024 al 31/12/2026;3/08/2023;22/08/2023;22/09/2023;5/10/2023;27/10/2023;Cerrada y desierta;Regulado;NO;;;;10/10/2023
CP-CSSC2023-002;CSSC;Air-e;18/07/2023;01/10/2023 al 31/12/2036;18/07/2023;27/07/2023;25/09/2023;6/10/2023;30/10/2023;Cerrada y desierta;Regulado;NO;25/08/2023;;;6/10/2023
CP-CDNC2023-003;CDNC;CEDENAR;9/08/2023;01/12/2023 al 31/12/2037;9/08/2023;31/08/2023;28/09/2023;11/10/2023;30/10/2023;Cerrada y adjudicada;Regulado;NO;;;;2/11/2023
CP-ENIC2023-002;ENIC;ENELAR;15/08/2023;01/12/2023 al 31/12/2034;15/08/2023;5/09/2023;3/10/2023;14/10/2023;7/11/2023;Cerrada y desierta;Regulado;NO;;;;15/10/2023
CP-CNSC2023-003;CNSC;CENS;15/08/2023;01/01/2024 al 31/12/2029;16/08/2023;7/09/2023;5/10/2023;19/10/2023;9/11/2023;Cerrada y adjudicada;Regulado;NO;;;;24/11/2023
CP-EMSC2023-003;EMSC;EMSA;18/08/2023;01/01/2024 al 31/12/2038;18/08/2023;10/09/2023;6/10/2023;20/10/2023;14/11/2023;Cerrada y adjudicada;Regulado;NO;;;;27/11/2023
